zip,state,CO2
03442,NH,728
03443,NH,728
03444,NH,728
03445,NH,728
03446,NH,728
03447,NH,728
03448,NH,728
03449,NH,728
03450,NH,728
03451,NH,728
03452,NH,728
03455,NH,728
03456,NH,728
03457,NH,728
03458,NH,728
03461,NH,728
03462,NH,728
03464,NH,728
03465,NH,728
03466,NH,728
03467,NH,728
03468,NH,728
03469,NH,728
03470,NH,728
03561,NH,728
03570,NH,728
03574,NH,728
03575,NH,728
03576,NH,728
03579,NH,728
03580,NH,728
03581,NH,728
03582,NH,728
03583,NH,728
03584,NH,728
03585,NH,728
03586,NH,728
03588,NH,728
03589,NH,728
03590,NH,728
03592,NH,728
03593,NH,728
03595,NH,728
03597,NH,728
03598,NH,728
03601,NH,728
03602,NH,728
03603,NH,728
03604,NH,728
03605,NH,728
03607,NH,728
03608,NH,728
03609,NH,728
03740,NH,728
03741,NH,728
03743,NH,728
03745,NH,728
03746,NH,728
03748,NH,728
03749,NH,728
03750,NH,728
03751,NH,728
03752,NH,728
03753,NH,728
03754,NH,728
03755,NH,728
03756,NH,728
03765,NH,728
03766,NH,728
03768,NH,728
03769,NH,728
03770,NH,728
03771,NH,728
03773,NH,728
03774,NH,728
03777,NH,728
03779,NH,728
03780,NH,728
03781,NH,728
03782,NH,728
03784,NH,728
03785,NH,728
03801,NH,728
03802,NH,728
03803,NH,728
03804,ME,728
03805,NH,728
03809,NH,728
03810,NH,728
03811,NH,728
03812,NH,728
03813,NH,728
03814,NH,728
03815,NH,728
03816,NH,728
03817,NH,728
03818,NH,728
03819,NH,728
03820,NH,728
03821,NH,728
03822,NH,728
03823,NH,728
03824,NH,728
03825,NH,728
03826,NH,728
03827,NH,728
03830,NH,728
03832,NH,728
03833,NH,728
03835,NH,728
03836,NH,728
03837,NH,728
03838,NH,728
03839,NH,728
03840,NH,728
03841,NH,728
03842,NH,728
03843,NH,728
03844,NH,728
03845,NH,728
03846,NH,728
03847,NH,728
03848,NH,728
03849,NH,728
03850,NH,728
03851,NH,728
03852,NH,728
03853,NH,728
03854,NH,728
03855,NH,728
03856,NH,728
03857,NH,728
03858,NH,728
03859,NH,728
03860,NH,728
03861,NH,728
03862,NH,728
03864,NH,728
03865,NH,728
03866,NH,728
03867,NH,728
03868,NH,728
03869,NH,728
03870,NH,728
03871,NH,728
03872,NH,728
03873,NH,728
03874,NH,728
03875,NH,728
03878,NH,728
03882,NH,728
03883,NH,728
03884,NH,728
03885,NH,728
03886,NH,728
03887,NH,728
03890,NH,728
03894,NH,728
03896,NH,728
03897,NH,728
03901,ME,728
03902,ME,728
03903,ME,728
03904,ME,728
03905,ME,728
03906,ME,728
03907,ME,728
03908,ME,728
03909,ME,728
03910,ME,728
03911,ME,728
04001,ME,728
04002,ME,728
04003,ME,728
04004,ME,728
04005,ME,728
04006,ME,728
04007,ME,728
04008,ME,728
04009,ME,728
04010,ME,728
04011,ME,728
04014,ME,728
04015,ME,728
04016,ME,728
04017,ME,728
04019,ME,728
04020,ME,728
04021,ME,728
04022,ME,728
04024,ME,728
04027,ME,728
04028,ME,728
04029,ME,728
04030,ME,728
04032,ME,728
04033,ME,728
04034,ME,728
04037,ME,728
04038,ME,728
04039,ME,728
04040,ME,728
04041,ME,728
04042,ME,728
04043,ME,728
04046,ME,728
04047,ME,728
04048,ME,728
04049,ME,728
04050,ME,728
04051,ME,728
04054,ME,728
04055,ME,728
04056,ME,728
04057,ME,728
04061,ME,728
04062,ME,728
04063,ME,728
04064,ME,728
04066,ME,728
04068,ME,728
04069,ME,728
04070,ME,728
04071,ME,728
04072,ME,728
04073,ME,728
04074,ME,728
04076,ME,728
04077,ME,728
04078,ME,728
04079,ME,728
04082,ME,728
04083,ME,728
04084,ME,728
04085,ME,728
04086,ME,728
04087,ME,728
04088,ME,728
04090,ME,728
04091,ME,728
04092,ME,728
04093,ME,728
04094,ME,728
04095,ME,728
04096,ME,728
04097,ME,728
04098,ME,728
04101,ME,728
04102,ME,728
04103,ME,728
04104,ME,728
04105,ME,728
04106,ME,728
04107,ME,728
04108,ME,728
04109,ME,728
04110,ME,728
04112,ME,728
04116,ME,728
04122,ME,728
04123,ME,728
04124,ME,728
04210,ME,728
04211,ME,728
04212,ME,728
04216,ME,728
04217,ME,728
04219,ME,728
04220,ME,728
04221,ME,728
04222,ME,728
04223,ME,728
04224,ME,728
04225,ME,728
04226,ME,728
04227,ME,728
04228,ME,728
04230,ME,728
04231,ME,728
04234,ME,728
04236,ME,728
04237,ME,728
04238,ME,728
04239,ME,728
04240,ME,728
04241,ME,728
04243,ME,728
04250,ME,728
04252,ME,728
04253,ME,728
04254,ME,728
04255,ME,728
04256,ME,728
04257,ME,728
04258,ME,728
04259,ME,728
04260,ME,728
04261,ME,728
04262,ME,728
04263,ME,728
04265,ME,728
04266,ME,728
04267,ME,728
04268,ME,728
04270,ME,728
04271,ME,728
04274,ME,728
04275,ME,728
04276,ME,728
04280,ME,728
04281,ME,728
04282,ME,728
04284,ME,728
04285,ME,728
04286,ME,728
04287,ME,728
04288,ME,728
04289,ME,728
04290,ME,728
04291,ME,728
04292,ME,728
04294,ME,728
04330,ME,728
04332,ME,728
04333,ME,728
04336,ME,728
04338,ME,728
04341,ME,728
04342,ME,728
04343,ME,728
04344,ME,728
04345,ME,728
04346,ME,728
04347,ME,728
04348,ME,728
04349,ME,728
04350,ME,728
04351,ME,728
04352,ME,728
04353,ME,728
